episode,gamma,mmr_cost,baseline_cost,median_cost,oracle_cost,mmr_final_distance,mmr_reach,mmr_settled_success
0,0.7414531707763672,0.3916698,0.17698945,0.25449917,0.010956458,0.34011102,0.0,0.0
1,3.277153253555298,0.51866925,0.22167759,0.13688193,0.018020684,0.45048934,0.0,0.0
2,2.7530570030212402,0.36293897,0.26123348,0.07304373,0.004927496,0.31431305,0.0,0.0
3,2.7565739154815674,0.40696988,0.1088822,0.06274931,0.0209202,0.39606228,1.0,0.0
4,1.3784382343292236,0.36605808,0.118456535,0.1923253,0.011262201,0.3149429,0.0,0.0
5,3.2381718158721924,0.16276006,0.16276006,0.12564553,0.0064031286,0.13939206,0.0,0.0
6,3.5830166339874268,0.24937516,0.3550581,0.14422005,0.006711006,0.21605703,0.0,0.0
7,1.018473505973816,0.3098789,0.28198498,0.32450545,0.019358525,0.28371578,1.0,0.0
8,1.5742402076721191,0.49564448,0.2936536,0.15242876,0.011857192,0.42896587,0.0,0.0
9,1.9057780504226685,0.12216092,0.12389131,0.11884769,0.028219398,0.10085333,0.0,0.0
10,1.3025904893875122,0.229045,0.229045,0.21141294,0.012328016,0.19286954,0.0,0.0
11,3.91827654838562,0.38983926,0.36291188,0.15826936,0.016754275,0.33851537,0.0,0.0
12,2.304600477218628,0.19173159,0.28555986,0.023375457,0.024298046,0.17613837,1.0,0.0
13,2.2069337368011475,0.4057062,0.3726498,0.018704552,0.013414102,0.3513272,0.0,0.0
14,1.5852508544921875,0.34688926,0.34688926,0.10983473,0.009976015,0.30006182,0.0,0.0
15,2.244976282119751,0.101107754,0.13548036,0.016424468,0.016329637,0.085161425,0.0,1.0
